Date,Open,High,Low,Close,Volume
2017-09-22,149.75,149.99,148.32,149.64,47287635
2017-09-25,147.75,149.58,146.94,148.31,45039680
2017-09-26,149.53,151.63,149.44,150.86,37180015
2017-09-27,151.51,152.41,151.25,151.94,25787472
2017-09-28,151.6,151.99,150.42,151,22316715
2017-09-29,150.93,151.84,149.73,151.83,26662195
2017-10-02,151.97,152.16,150.44,151.52,18965182
2017-10-03,151.72,152.77,151.62,152.17,16464416
2017-10-04,151.34,151.57,150.18,151.19,20420118
2017-10-05,151.89,153.12,151.76,153.07,21586892
2017-10-06,152.65,153.17,152.26,152.98,17648618
2017-10-09,153.49,154.4,153.17,153.52,16489403
2017-10-10,153.74,155.64,152.78,153.58,15839702
2017-10-11,153.65,154.64,153.43,154.22,17136825
2017-10-12,154.02,155.03,153.41,153.68,16628797
2017-10-13,154.4,154.94,154.08,154.65,16621378
2017-10-16,155.54,157.62,155.31,157.5,24460528
2017-10-17,157.4,158.47,156.86,158.09,19259218
2017-10-18,158.04,158.31,157.22,157.38,16502208
2017-10-19,154.42,154.74,152.7,153.66,43027729
2017-10-20,154.28,155.4,153.64,153.92,24273203
2017-10-23,154.56,155.35,153.18,153.84,22292162
2017-10-24,153.96,155.08,153.87,154.76,17905026
2017-10-25,154.58,155.21,152.95,154.08,21497704
2017-10-26,154.89,155.47,154.45,155.07,17188746
2017-10-27,156.92,161.16,156.34,160.63,45072762
2017-10-30,161.45,165.57,161.28,164.23,45376652
2017-10-31,165.4,167.11,164.44,166.53,36591858
2017-11-01,167.33,167.4,163.15,164.39,34146368
2017-11-02,165.14,166,162.82,165.61,42019244
2017-11-03,171.42,171.67,168.58,169.92,60296743
2017-11-06,169.79,172.38,169.17,171.66,35302045
2017-11-07,171.33,172.52,171.33,172.2,24705371
2017-11-08,172.05,173.62,171.74,173.62,24731962
2017-11-09,172.5,173.47,170.56,173.26,29872242
2017-11-10,173.12,173.39,172.29,172.68,25419091
2017-11-13,171.54,172.51,171.44,171.99,17153649
2017-11-14,171.08,171.52,169.24,169.39,24976109
2017-11-15,168.04,168.39,166.48,167.15,29332831
2017-11-16,169.24,169.91,168.37,169.17,23876630
2017-11-17,169.11,169.44,167.71,168.22,22137761
2017-11-20,168.36,168.63,167.63,168.05,16225997
2017-11-21,168.85,171.73,168.85,171.18,25338435
2017-11-22,171.4,173.01,171.09,172.97,25855163
2017-11-24,173.11,173.51,172.66,172.98,14187755
2017-11-27,173.06,173.09,171.38,172.11,20829398
2017-11-28,172.32,172.88,169.9,171.11,26706641
2017-11-29,170.67,170.96,165.26,167.55,41951624
2017-11-30,168.5,170.18,166.54,169.89,41966849
2017-12-01,168.02,169.71,166.6,169.12,40192188
2017-12-04,170.52,170.66,167.7,167.87,32887629
2017-12-05,167.13,169.57,166.5,167.71,27630326
2017-12-06,165.6,168.27,164.56,167.12,28726604
2017-12-07,167.1,168.51,166.98,167.39,25950988
2017-12-08,168.56,169.07,166.89,167.44,23563002
2017-12-11,167.27,170.93,166.86,170.71,34659907
2017-12-12,170.19,170.43,169.51,169.74,19615707
2017-12-13,170.54,171.58,170.04,170.31,23672231
2017-12-14,170.44,171.17,169.69,170.26,20677644
2017-12-15,171.66,172.19,170.5,171.99,40591369
2017-12-18,172.89,175.19,172.87,174.42,29725330
2017-12-19,173.04,173.4,172.11,172.54,27709000
2017-12-20,172.88,173.43,171.29,172.37,23726303
2017-12-21,172.19,174.03,172.12,173.02,21090429
2017-12-22,172.69,173.43,172.51,173.02,16528459
2017-12-26,168.87,169.52,167.75,168.64,33525665
2017-12-27,168.17,168.85,167.78,168.67,21726927
2017-12-28,169.07,169.89,168.55,169.15,16646922
2017-12-29,168.59,168.66,167.29,167.3,26243839
2018-01-02,168.23,170.34,167.33,170.3,25812417
2018-01-03,170.57,172.56,170,170.27,29805050
2018-01-04,170.58,171.51,170.12,171.07,22605543
2018-01-05,171.48,173.38,171.09,173.01,23867426
2018-01-08,172.37,173.62,171.95,172.42,20766124
2018-01-09,172.56,173.07,171.45,172.35,21780479
2018-01-10,171.2,172.32,171.04,172.31,24213842
2018-01-11,172.6,173.5,172.51,173.29,18868002
2018-01-12,174.18,175.35,173.66,175.08,25623757
2018-01-16,175.88,177.35,174.14,174.19,29856746
2018-01-17,174.15,177.21,173.08,177.06,34662749
2018-01-18,177.33,178.06,176.23,177.22,31447587
2018-01-19,176.58,177.54,175.39,176.44,31841279
